序號,設施名稱,is_indoor,分類原因
262,高雄市小港區華山國民小學,True,預設室內
263,高雄市小港區港和國民小學,True,預設室內
264,佳興活動中心,True,包含強制室內關鍵字: 活動中心
265,佳佐國小,True,包含強制室內關鍵字: 國小
266,萬巒鄉公所展覽廳,True,包含強制室內關鍵字: 公所
267,高雄市前鎮區佛公國民小學,True,預設室內
268,萬巒國小,True,包含強制室內關鍵字: 國小
269,大明國小,True,包含強制室內關鍵字: 國小
270,過溪里社區活動中心,True,包含強制室內關鍵字: 活動中心
271,武潭活動中心,True,包含強制室內關鍵字: 活動中心
272,西方道堂,True,預設室內
273,高雄市前鎮區明正國民小學,True,預設室內
274,高雄市立明義國民中學,True,預設室內
275,清山寺,True,預設室內
276,萬丹國小,True,包含強制室內關鍵字: 國小
277,竹田國小,True,包含強制室內關鍵字: 國小
278,高雄市小港區桂林國民小學,True,預設室內
279,高雄市立前鎮國民中學,True,預設室內
280,高雄市小港區明義國民小學,True,預設室內
281,竹田鄉公所,True,包含強制室內關鍵字: 公所
282,富翔天廈,True,預設室內
283,高雄市前鎮區前鎮國民小學,True,預設室內
284,高雄市立興仁國民中學,True,預設室內
285,高雄市立前鎮高級中學,True,預設室內
286,香蘭國小,True,包含強制室內關鍵字: 國小
287,高雄市旗津區大汕國民小學,True,預設室內
288,高雄市立旗津國民中學,True,預設室內
289,萬巒鄉立幼兒園泗溝分班,True,預設室內
290,圖書館,True,包含強制室內關鍵字: 圖書館
291,萬丹鄉行政中心,True,預設室內
292,高雄市旗津區公所5樓大禮堂,True,包含強制室內關鍵字: 禮堂
293,佛聖宮,True,預設室內
294,高雄市鳳山區過埤國民小學,True,預設室內
295,高雄市立福誠高級中學,True,預設室內
296,高雄市前鎮區鎮昌國民小學,True,預設室內
297,五溝國小,True,包含強制室內關鍵字: 國小
298,高雄市大寮區大寮國民小學,True,預設室內
299,佳平活動中心,True,包含強制室內關鍵字: 活動中心
300,大寮里社區活動中心,True,包含強制室內關鍵字: 活動中心
301,泰武國中,True,包含強制室內關鍵字: 國中
302,澳洲特區,True,預設室內
303,荷蘭町,True,預設室內
304,興華國小,True,包含強制室內關鍵字: 國小
